0,40.08,44.62,7.62,3.18,90.39,31.87,14.83,30.11,92.49
40.08,0,76.36,72.74,71.48,48.01,15.63,24.51,81.32,98.04
44.62,76.36,0,95.99,63.32,41.82,27.64,85.13,20.15,8.67
7.62,72.74,95.99,0,10.66,3.28,92.29,56.13,66.63,86.51
3.18,71.48,63.32,10.66,0,74.4,64.96,76.97,67.43,40.32
90.39,48.01,41.82,3.28,74.4,0,37.73,19.09,84.33,7.25
31.87,15.63,27.64,92.29,64.96,37.73,0,2.68,39.82,6.55
14.83,24.51,85.13,56.13,76.97,19.09,2.68,0,23.97,60.8
30.11,81.32,20.15,66.63,67.43,84.33,39.82,23.97,0,78.64
92.49,98.04,8.67,86.51,40.32,7.25,6.55,60.8,78.64,0
